Citation	wID	1830	1837	1840	1841	1879	1920
Jarom 1:5	40.01	;	;
Jarom 1:5	40.02	⌴	⌴
Jarom 1:5	41	neither	neither
Jarom 1:5	41.01	⌴	⌴
Jarom 1:5	42	did	did
Jarom 1:5	42.01	⌴	⌴
Jarom 1:5	43	they	they
Jarom 1:5	43.01	⌴	⌴
Jarom 1:5	44	blaspheme	blaspheme
Jarom 1:5	44.01	.	.
Jarom 1:5	44.02	⌴	⌴
Jarom 1:5	45	And	And
Jarom 1:5	45.01	⌴	⌴
Jarom 1:5	46	the	the
Jarom 1:5	46.01	⌴	⌴
Jarom 1:5	47	laws	laws
Jarom 1:5	47.01	⌴	⌴
Jarom 1:5	48	of	of
Jarom 1:5	48.01	⌴	⌴
Jarom 1:5	49	the	the
Jarom 1:5	49.01	⌴	⌴
Jarom 1:5	50	land	land
Jarom 1:5	50.01	⌴	⌴
Jarom 1:5	51	were	were
Jarom 1:5	51.01	⌴	⌴
Jarom 1:5	52	exceeding	exceeding
Jarom 1:5	52.01	⌴	⌴
Jarom 1:5	53	strict	strict
Jarom 1:5	53.01	.	.
Jarom 1:6	1	And	And
Jarom 1:6	1.01	⌴	⌴
Jarom 1:6	2	they	they
Jarom 1:6	2.01	⌴	⌴
Jarom 1:6	3	were	were
Jarom 1:6	3.01	⌴	⌴
Jarom 1:6	4	scattered	scattered
Jarom 1:6	4.01	⌴	⌴
Jarom 1:6	5	upon	upon
Jarom 1:6	5.01	⌴	⌴
Jarom 1:6	6	much	much
Jarom 1:6	6.01	⌴	⌴
Jarom 1:6	7	of	of
Jarom 1:6	7.01	⌴	⌴
Jarom 1:6	8	the	the
Jarom 1:6	8.01	⌴	⌴
Jarom 1:6	9	face	face
Jarom 1:6	9.01	⌴	⌴
Jarom 1:6	10	of	of
Jarom 1:6	10.01	⌴	⌴
Jarom 1:6	11	the	the
Jarom 1:6	11.01	⌴	⌴
Jarom 1:6	12	land	land
Jarom 1:6	12.01	;	;
Jarom 1:6	12.02	⌴	⌴
Jarom 1:6	13	and	and
Jarom 1:6	13.01	⌴	⌴
Jarom 1:6	14	the	the
Jarom 1:6	14.01	⌴	⌴
Jarom 1:6	15	Lamanites	Lamanites
Jarom 1:6	15.01	⌴	⌴
Jarom 1:6	16	also	also
Jarom 1:6	16.01	.	.
Jarom 1:6	16.02	⌴	⌴
Jarom 1:6	17	And	And
Jarom 1:6	17.01	⌴	⌴
Jarom 1:6	18	they	they
Jarom 1:6	18.01	⌴	⌴
Jarom 1:6	19	were	were
Jarom 1:6	19.01	⌴	⌴
Jarom 1:6	20	exceeding	exceeding
Jarom 1:6	20.01	⌴	⌴
Jarom 1:6	21	more	more
Jarom 1:6	21.01	⌴	⌴
Jarom 1:6	22	numerous	numerous
Jarom 1:6	22.01	⌴	⌴
Jarom 1:6	23	than	than
Jarom 1:6	23.01	⌴	⌴
Jarom 1:6	24	were	were
Jarom 1:6	24.01	⌴	⌴
Jarom 1:6	25	they	they
Jarom 1:6	25.01	⌴	⌴
Jarom 1:6	26	of	of
Jarom 1:6	26.01	⌴	⌴
Jarom 1:6	27	the	the
Jarom 1:6	27.01	⌴	⌴
Jarom 1:6	28	Nephites	Nephites
Jarom 1:6	28.01	;	;
Jarom 1:6	28.02	⌴	⌴
Jarom 1:6	29	and	and
Jarom 1:6	29.01	⌴	⌴
Jarom 1:6	30	they	they
Jarom 1:6	30.01	⌴	⌴
Jarom 1:6	31	loved	loved
Jarom 1:6	31.01	⌴	⌴
Jarom 1:6	32	murder	murder
Jarom 1:6	32.01	,	,
Jarom 1:6	32.02	⌴	⌴
Jarom 1:6	33	and	and
Jarom 1:6	33.01	⌴	⌴
Jarom 1:6	34	would	would
Jarom 1:6	34.01	⌴	⌴
Jarom 1:6	35	drink	drink
Jarom 1:6	35.01	⌴	⌴
Jarom 1:6	36	the	the
Jarom 1:6	36.01	⌴	⌴
Jarom 1:6	37	blood	blood
Jarom 1:6	37.01	⌴	⌴
Jarom 1:6	38	of	of
Jarom 1:6	38.01	⌴	⌴
Jarom 1:6	39	beasts	beasts
Jarom 1:6	39.01	.	.
Jarom 1:7	1	And	And
Jarom 1:7	1.01	⌴	⌴
Jarom 1:7	2	it	it
Jarom 1:7	2.01	⌴	⌴
Jarom 1:7	3	came	came
Jarom 1:7	3.01	⌴	⌴
Jarom 1:7	4	to	to
Jarom 1:7	4.01	⌴	⌴
Jarom 1:7	5	pass	pass
Jarom 1:7	5.01	⌴	⌴
Jarom 1:7	6	that	that
Jarom 1:7	6.01	⌴	⌴
Jarom 1:7	7	they	they
Jarom 1:7	7.01	⌴	⌴
Jarom 1:7	8	came	came
Jarom 1:7	8.01	⌴	⌴
Jarom 1:7	9	many	many
Jarom 1:7	9.01	⌴	⌴
Jarom 1:7	10	times	times
Jarom 1:7	10.01	⌴	⌴
Jarom 1:7	11	against	against
Jarom 1:7	11.01	⌴	⌴
Jarom 1:7	12	us	us
Jarom 1:7	12.01	,	,
Jarom 1:7	12.02	⌴	⌴
Jarom 1:7	13	the	the
Jarom 1:7	13.01	⌴	⌴
Jarom 1:7	14	Nephites	Nephites
Jarom 1:7	14.01	,	,
Jarom 1:7	14.02	⌴	⌴
Jarom 1:7	15	to	to
Jarom 1:7	15.01	⌴	⌴
Jarom 1:7	16	battle	battle
Jarom 1:7	16.01	.	.
Jarom 1:7	16.02	⌴	⌴
Jarom 1:7	17	But	But
Jarom 1:7	17.01	⌴	⌴
Jarom 1:7	18	our	our
Jarom 1:7	18.01	⌴	⌴
Jarom 1:7	19	kings	kings
Jarom 1:7	19.01	⌴	⌴
Jarom 1:7	20	and	and
Jarom 1:7	20.01	⌴	⌴
Jarom 1:7	21	our	our
Jarom 1:7	21.01	⌴	⌴
Jarom 1:7	22	leaders	leaders
Jarom 1:7	22.01	⌴	⌴
Jarom 1:7	23	were	were
Jarom 1:7	23.01	⌴	⌴
Jarom 1:7	24	mighty	mighty
Jarom 1:7	24.01	⌴	⌴
Jarom 1:7	25	men	men
Jarom 1:7	25.01	⌴	⌴
Jarom 1:7	26	in	in
Jarom 1:7	26.01	⌴	⌴
Jarom 1:7	27	the	the
Jarom 1:7	27.01	⌴	⌴
Jarom 1:7	28	faith	faith
Jarom 1:7	28.01	⌴	⌴
Jarom 1:7	29	of	of
Jarom 1:7	29.01	⌴	⌴
Jarom 1:7	30	the	the
Jarom 1:7	30.01	⌴	⌴
Jarom 1:7	31	Lord	Lord
Jarom 1:7	31.01	;	;
Jarom 1:7	31.02	⌴	⌴
Jarom 1:7	32	and	and
Jarom 1:7	32.01	⌴	⌴
Jarom 1:7	33	they	they
Jarom 1:7	33.01	⌴	⌴
Jarom 1:7	34	taught	taught
Jarom 1:7	34.01	⌴	⌴
Jarom 1:7	35	the	the
Jarom 1:7	35.01	⌴	⌴
Jarom 1:7	36	people	people
Jarom 1:7	36.01	⌴	⌴
Jarom 1:7	37	the	the
Jarom 1:7	37.01	⌴	⌴
Jarom 1:7	38	ways	ways
Jarom 1:7	38.01	⌴	⌴
Jarom 1:7	39	of	of
Jarom 1:7	39.01	⌴	⌴
Jarom 1:7	40	the	the
Jarom 1:7	40.01	⌴	⌴
Jarom 1:7	41	Lord	Lord
Jarom 1:7	41.01	;	;
Jarom 1:7	41.02	⌴	⌴
Jarom 1:7	42	wherefore	wherefore
Jarom 1:7	42.01	,	,
Jarom 1:7	42.02	⌴	⌴
Jarom 1:7	43	we	we
Jarom 1:7	43.01	⌴	⌴
Jarom 1:7	44	withstood	withstood
Jarom 1:7	44.01	⌴	⌴
Jarom 1:7	45	the	the
Jarom 1:7	45.01	⌴	⌴
Jarom 1:7	46	Lamanites	Lamanites
Jarom 1:7	46.01	,	,
Jarom 1:7	46.02	⌴	⌴
Jarom 1:7	47	and	and
Jarom 1:7	47.01	⌴	⌴
Jarom 1:7	48	swept	swept
Jarom 1:7	48.01	⌴	⌴
Jarom 1:7	49	them	them
Jarom 1:7	49.01	⌴	⌴
Jarom 1:7	50	away	away
Jarom 1:7	50.01	⌴	⌴
Jarom 1:7	51	out	out
Jarom 1:7	51.01	⌴	⌴
Jarom 1:7	52	of	of
Jarom 1:7	52.01	⌴	⌴
Jarom 1:7	53	our	our
Jarom 1:7	53.01	⌴	⌴
Jarom 1:7	54	lands	lands
Jarom 1:7	54.01	,	,
Jarom 1:7	54.02	⌴	⌴
Jarom 1:7	55	and	and
Jarom 1:7	55.01	⌴	⌴
Jarom 1:7	56	began	began
Jarom 1:7	56.01	⌴	⌴
Jarom 1:7	57	to	to
Jarom 1:7	57.01	⌴	⌴
Jarom 1:7	58	fortify	fortify
